All Push-Up
[Archer Push-Up | (Bar)] [DIFF 6.1]
[Decline Push-Up | Negative] [DIFF 3.6]
[Decline Push-Up | Pause] [DIFF 4.4]
[Decline Push-Up | (TRX)] [DIFF 5.0]
[Decline Push-Up | Clap] [DIFF 4.9]
[Decline Push-Up | Knuckle] [DIFF 3.6]
[Decline Push-Up | Diamond] [DIFF 3.9]
[Decline Push-Up | Spider-Man] [DIFF 4.1]
[Decline Push-Up | Wide] [DIFF 3.5]
[Decline Push-Up | Narrow] [DIFF 3.7]
[Decline Push-Up | Fist] [DIFF 3.7]
[Decline Push-Up | Explosive] [DIFF 4.6]
[Decline Push-Up | Closed Legs] [DIFF 3.6]
[Decline Push-Up | Knee, One Arm] [DIFF 6.5]
[Decline Push-Up | Knee, One Arm, Knuckle] [DIFF 6.4]
[Decline Push-Up | Knee, One Arm, Fist] [DIFF 6.4]
[Decline Push-Up | Knee, 1-Finger] [DIFF 5.8]
[Decline Push-Up | Knee, One Arm, Fingertip] [DIFF 6.55]
[Decline Push-Up | Knee, One Arm, 4-Finger] [DIFF 6.65]
[Decline Push-Up | Knee, One Arm, 3-Finger] [DIFF 6.75]
[Decline Push-Up | Knee, One Arm, 2-Finger] [DIFF 6.8]
[Decline Push-Up | Knee, One Arm, 1-Finger] [DIFF 7.5]
[Decline Push-Up | 3-Finger] [DIFF 5.5]
[Decline Push-Up | 2-Finger] [DIFF 6.8]
[Decline Push-Up | One Arm, Straddle] [DIFF 6.5]
[Decline Push-Up | (Rings)] [DIFF 5.5]
[Decline Push-Up | One Arm, Negative] [DIFF 6.2]
[Decline Push-Up | One Arm, Pause] [DIFF 7.5]
[Decline Push-Up | One Arm, Fingertip] [DIFF 8.0]
[Decline Push-Up | One Arm, 1-Finger] [DIFF 9.5]
[Decline Push-Up | Wide Staggered] [DIFF 5.5]
[Decline Push-Up | One Arm, Fist] [DIFF 6.7]
[Decline Push-Up | One Arm, Knuckle] [DIFF 6.7]
[Decline Push-Up | One Arm, Closed Legs] [DIFF 7.8]
[Incline Push-Up | Knee] [DIFF 0.45]
[Incline Push-Up | Knee, Wide] [DIFF 0.5]
[Incline Push-Up | Knee, Narrow] [DIFF 0.55]
[Incline Push-Up | Knee, Diamond] [DIFF 0.65]
[Incline Push-Up | Knee, Staggered] [DIFF 0.7]
[Incline Push-Up | Knee, Straddle] [DIFF 0.4]
[Incline Push-Up | Knee, One Leg] [DIFF 0.6]
[Incline Push-Up | Knee, T] [DIFF 0.85]
[Incline Push-Up | Knee, Knuckle] [DIFF 0.5]
[Incline Push-Up | Knee, Fist] [DIFF 0.6]
[Incline Push-Up | Knee, One Arm, Fist] [DIFF 3.7]
[Incline Push-Up | Knee, Archer] [DIFF 0.85]
[Incline Push-Up | Knee, Typewriter] [DIFF 1.0]
[Incline Push-Up | Knee, One Arm] [DIFF 3.1]
[Incline Push-Up | Knee, Fingertip] [DIFF 0.55]
[Incline Push-Up | Knee, 4-Finger] [DIFF 0.7]
[Incline Push-Up | Knee, 3-Finger] [DIFF 0.95]
[Incline Push-Up | Knee, 2-Finger] [DIFF 1.4]
[Incline Push-Up | Knee, 1-Finger] [DIFF 3.4]
[Incline Push-Up | Knee, Explosive] [DIFF 0.75]
[Incline Push-Up | Knee, Clap] [DIFF 0.9]
[Incline Push-Up | Knee, Negative] [DIFF 0.35]
[Incline Push-Up | Knee, Pause] [DIFF 0.55]
[Incline Push-Up | Knee, Deficit] [DIFF 0.7]
[Incline Push-Up | Knee (Bar)] [DIFF 0.5]
[Incline Push-Up | Knee (Parallettes)] [DIFF 0.8]
[Incline Push-Up | Knee (Rings)] [DIFF 1.1]
[Incline Push-Up | Knee (TRX)] [DIFF 0.85]
[Preacher Push-Up] [DIFF 3.4]
[Incline Push-Up] [DIFF 1.0]
[Incline Push-Up | One Leg] [DIFF 1.3]
[Incline Push-Up | Negative] [DIFF 1.3]
[Incline Push-Up | Pause] [DIFF 1.3]
[Incline Push-Up | Fingertip] [DIFF 1.9]
[Incline Push-Up | Clap] [DIFF 1.7]
[Incline Push-Up | Staggered] [DIFF 1.3]
[Incline Push-Up | Diamond] [DIFF 1.3]
[Incline Push-Up | Knuckle] [DIFF 1.1]
[Incline Push-Up | Explosive] [DIFF 1.6]
[Incline Push-Up | 4-Finger] [DIFF 2.0]
[Incline Push-Up | 3-Finger] [DIFF 2.5]
[Incline Push-Up | One Arm, Negative] [DIFF 3.2]
[Incline Push-Up | High Incline] [DIFF 0.6]
[Incline Push-Up | Low Incline] [DIFF 1.9]
[Incline Push-Up | Wide] [DIFF 1.1]
[Incline Push-Up | Closed Legs] [DIFF 1.1]
[Incline Push-Up | Fist] [DIFF 1.1]
[Incline Push-Up | One Arm, Straddle] [DIFF 3.0]
[Incline Push-Up | Narrow] [DIFF 1.3]
[Incline Push-Up | Spider-Man] [DIFF 1.4]
[Incline Push-Up | (Rings)] [DIFF 1.7]
[Incline Push-Up | (TRX)] [DIFF 1.8]
[Incline Push-Up | Knee, One Arm, Knuckle] [DIFF 3.6]
[Incline Push-Up | Knee, One Arm, Fingertip] [DIFF 3.5]
[Incline Push-Up | Knee, One Arm, 4-Finger] [DIFF 3.7]
[Incline Push-Up | Knee, One Arm, 3-Finger] [DIFF 3.9]
[Incline Push-Up | Knee, One Arm, 2-Finger] [DIFF 5.16]
[Preacher Push-Up | Narrow] [DIFF 3.9]
[Preacher Push-Up | Pause] [DIFF 3.9]
[Preacher Push-Up | Negative] [DIFF 4.0]
[Incline Push-Up | One Arm] [DIFF 4.0]
[Incline Push-Up | 2-Finger] [DIFF 3.5]
[Incline Push-Up | One Arm, Pause] [DIFF 4.8]
[Incline Push-Up | One Arm, Closed Legs] [DIFF 5.0]
[Incline Push-Up | One Arm, Fist] [DIFF 4.2]
[Incline Push-Up | One Arm, Knuckle] [DIFF 4.2]
[Incline Push-Up | 1-Finger] [DIFF 5.9]
[Incline Push-Up | One Arm, 1-Finger] [DIFF 8.5]
[Knee Push-Up] [DIFF 1.0]
[Knee Push-Up | Wide] [DIFF 1.1]
[Knee Push-Up | Narrow] [DIFF 1.2]
[Knee Push-Up | Diamond] [DIFF 1.4]
[Knee Push-Up | Staggered] [DIFF 1.5]
[Knee Push-Up | Straddle] [DIFF 0.9]
[Knee Push-Up | One Leg] [DIFF 1.3]
[Knee Push-Up | T] [DIFF 1.7]
[Knee Push-Up | Knuckle] [DIFF 1.3]
[Knee Push-Up | Fist] [DIFF 1.5]
[Knee Push-Up | Archer] [DIFF 1.8]
[Knee Push-Up | Typewriter] [DIFF 2.2]
[Knee Push-Up | Fingertip] [DIFF 2.0]
[Knee Push-Up | 4-Finger] [DIFF 2.2]
[Knee Push-Up | 3-Finger] [DIFF 2.5]
[Knee Push-Up | Deficit] [DIFF 1.6]
[Knee Push-Up | Explosive] [DIFF 1.5]
[Knee Push-Up | Clap] [DIFF 1.7]
[Knee Push-Up | Negative] [DIFF 0.8]
[Knee Push-Up | Pause] [DIFF 1.3]
[Knee Push-Up | (Bar)] [DIFF 1.1]
[Knee Push-Up | (Parallettes)] [DIFF 1.2]
[Knee Push-Up | (Rings)] [DIFF 2.3]
[Knee Push-Up | (TRX)] [DIFF 1.8]
[Knee Push-Up | One Arm, Knuckle] [DIFF 4.6]
[Knee Push-Up | One Arm, Fist] [DIFF 4.65]
[Knee Push-Up | One Arm] [DIFF 4.5]
[Knee Push-Up | 2-Finger] [DIFF 4.2]
[Knee Push-Up | One Arm, 4-Finger] [DIFF 5.0]
[Knee Push-Up | One Arm, 3-Finger] [DIFF 5.3]
[Knee Push-Up | 1-Finger] [DIFF 5.5]
[Knee Push-Up | One Arm, 2-Finger] [DIFF 5.8]
[Knee Push-Up | One Arm, 1-Finger] [DIFF 7.0]
[Tuck Planche Push-Up] [DIFF 8.5]
[Tuck Planche Push-Up | (Parallettes)] [DIFF 8.2]
[Tuck Planche Push-Up | (Rings)] [DIFF 9.5]
[Tuck Planche Push-Up | Advanced] [DIFF 9.2]
[Advanced Tuck Planche Push-Up | (Parallettes)] [DIFF 9.0]
[Straddle Planche Push-Up] [DIFF 10.5]
[Straddle Planche Push-Up | (Rings)] [DIFF 11.5]
[Push-Up] [DIFF 3.0]
[Wide Push-Up] [DIFF 3.2]
[Narrow Push-Up] [DIFF 3.2]
[Push-Up | One Leg] [DIFF 3.2]
[Push-Up | Staggered] [DIFF 3.4]
[Push-Up | (Bar)] [DIFF 3.0]
[Push-Up | Negative] [DIFF 2.5]
[Push-Up | Pause] [DIFF 3.4]
[Knuckle Push-Up] [DIFF 3.2]
[Fist Push-Up] [DIFF 3.2]
[Diamond Push-Up] [DIFF 3.6]
[Push-Up | Deficit] [DIFF 3.5]
[Push-Up | (Parallettes)] [DIFF 3.5]
[Push-Up | (Rings)] [DIFF 4.0]
[Push-Up | (TRX)] [DIFF 4.0]
[Push-Up | Fingertip] [DIFF 3.9]
[Push-Up | 4-Finger] [DIFF 4.3]
[Push-Up | 3-Finger] [DIFF 5.0]
[Explosive Push-Up] [DIFF 3.6]
[Push-Up | Clap] [DIFF 4.2]
[Diamond Push-Up | Deficit] [DIFF 4.1]
[Spider-Man Push-Up] [DIFF 3.6]
[Push-Up | T-Rotation] [DIFF 3.9]
[Wide Push-Up | Fingertip] [DIFF 4.1]
[Diamond Push-Up | Fingertip] [DIFF 4.1]
[Push-Up | 2-Finger] [DIFF 6.0]
[Push-Up | 1-Finger] [DIFF 7.0]
[Hindu Push-Up] [DIFF 4.3]
[Dive Bomber Push-Up] [DIFF 4.7]
[Push-Up | Clap, Behind Back] [DIFF 6.8]
[Superman Push-Up] [DIFF 7.8]
[Triple Clap Push-Up] [DIFF 7.9]
[Push-Up | Typewriter] [DIFF 5.8]
[Wide Push-Up | (Parallettes)] [DIFF 3.8]
[Wide Push-Up | (Rings)] [DIFF 4.5]
[Wide Push-Up | (Bar)] [DIFF 3.4]
[Wide Push-Up | (TRX)] [DIFF 4.3]
[Narrow Push-Up | (Parallettes)] [DIFF 3.7]
[Narrow Push-Up | (Rings)] [DIFF 4.6]
[Narrow Push-Up | (Bar)] [DIFF 3.4]
[Diamond Push-Up | (Parallettes)] [DIFF 4.0]
[Diamond Push-Up | (Rings)] [DIFF 5.0]
[Diamond Push-Up | (Bar)] [DIFF 3.8]
[Push-Up | One Leg | (Parallettes)] [DIFF 3.7]
[Push-Up | One Leg | (Rings)] [DIFF 4.8]
[Push-Up | Staggered | (Parallettes)] [DIFF 3.9]
[Explosive Push-Up | (Parallettes)] [DIFF 4.5]
[Explosive Push-Up | (Rings)] [DIFF 5.2]
[Push-Up | Clap | (Parallettes)] [DIFF 5.0]
[Push-Up | Clap | (Rings)] [DIFF 5.8]
[Wide Push-Up | Explosive] [DIFF 4.0]
[Wide Push-Up | Clap] [DIFF 4.6]
[Wide Push-Up | Negative] [DIFF 3.5]
[Wide Push-Up | Pause] [DIFF 3.6]
[Narrow Push-Up | Explosive] [DIFF 3.9]
[Narrow Push-Up | Clap] [DIFF 4.5]
[Narrow Push-Up | Fingertip] [DIFF 4.2]
[Diamond Push-Up | Explosive] [DIFF 4.4]
[Diamond Push-Up | Clap] [DIFF 4.9]
[Diamond Push-Up | Negative] [DIFF 3.7]
[Diamond Push-Up | Pause] [DIFF 3.9]
[Knuckle Push-Up | Wide] [DIFF 3.5]
[Knuckle Push-Up | (Parallettes)] [DIFF 3.7]
[Fist Push-Up | (Parallettes)] [DIFF 3.7]
[Hindu Push-Up | (Parallettes)] [DIFF 4.2]
[Dive Bomber Push-Up | (Parallettes)] [DIFF 4.5]
[Dive Bomber Push-Up | Wide] [DIFF 4.1]
[Typewriter Push-Up | (Parallettes)] [DIFF 6.2]
[Typewriter Push-Up | (Rings)] [DIFF 7.0]
[Typewriter Push-Up | Fingertip] [DIFF 6.8]
[Clockwork Push-Up] [DIFF 5.2]
[Clockwork Push-Up | Fingertip] [DIFF 6.0]
[Clockwork Push-Up | (Parallettes)] [DIFF 5.8]
[Push-Up | Star] [DIFF 3.7]
[Push-Up | Crucifix] [DIFF 7.2]
[T-Rotation Push-Up | (Parallettes)] [DIFF 5.2]
[Push-Up | Cross-Body] [DIFF 4.2]
[Hindu Push-Up | Wide] [DIFF 4.0]
[Knuckle Push-Up | Diamond] [DIFF 3.7]
[Fist Push-Up | Wide] [DIFF 3.5]
[Push-Up | Staggered | Explosive] [DIFF 4.8]
[Wall Push-Up | High] [DIFF 0.1]
[Wall Push-Up] [DIFF 0.3]
[Wall Push-Up | Wide] [DIFF 0.35]
[Wall Push-Up | Narrow] [DIFF 0.4]
[Wall Push-Up | Diamond] [DIFF 0.55]
[Wall Push-Up | One Leg] [DIFF 0.45]
[Wall Push-Up | Straddle] [DIFF 0.25]
[Wall Push-Up | Staggered] [DIFF 0.48]
[Wall Push-Up | Fingertip] [DIFF 0.5]
[Wall Push-Up | T] [DIFF 0.75]
[Wall Push-Up | Low] [DIFF 0.6]
[Wall Push-Up | 4-Finger] [DIFF 0.65]
[Wall Push-Up | Explosive] [DIFF 0.7]
[Wall Push-Up | 3-Finger] [DIFF 0.8]
[Wall Push-Up | Clap] [DIFF 0.9]
[Wall Push-Up | Pause] [DIFF 0.32]
[Wall Push-Up | Negative] [DIFF 0.25]
[Wall Push-Up | Archer] [DIFF 1.0]
[Wall Push-Up | Typewriter] [DIFF 1.2]
[Wall Push-Up | 2-Finger] [DIFF 1.1]
[Wall Push-Up | 1-Finger] [DIFF 1.6]
[Wall Push-Up | One Arm] [DIFF 1.5]
[Wall Push-Up | One Arm, Low] [DIFF 1.8]
[Wall Push-Up | One Arm, Fingertip] [DIFF 2.0]
[Wall Push-Up | One Arm, 4-Finger] [DIFF 2.2]
[Wall Push-Up | One Arm, 3-Finger] [DIFF 2.6]
[Wall Push-Up | Knuckle] [DIFF 0.39]
[Wall Push-Up | Fist] [DIFF 0.45]
[Wall Push-Up | One Arm, Knuckle] [DIFF 1.9]
[Wall Push-Up | One Arm, Fist] [DIFF 2.0]
[Wall Push-Up | (Bar)] [DIFF 0.28]
[Wall Push-Up | (Parallettes)] [DIFF 0.5]
[Wall Push-Up | (Rings)] [DIFF 1.05]
[Wall Push-Up | (TRX)] [DIFF 0.65]

All Pull-Up
[Chin-Up | (Band)] [DIFF 2.5]
[Jumping Chin-Up] [DIFF 1.2]
[Scapular Chin-Up] [DIFF 2]
[Slow Negative Chin-Up] [DIFF 3.5]
[One-Arm Scapular Pull] [DIFF 4.8]
[Australian Pull-Up | (Low Bar)] [DIFF 1.5]
[Chin-Up] [DIFF 3.8]
[Close Chin-Up] [DIFF 3.6]
[Wide Chin-Up] [DIFF 4.2]
[Paused Chin-Up] [DIFF 4.3]
[Chin-Up | (Rings)] [DIFF 4.8]
[Towel Chin-Up] [DIFF 5]
[Commando Chin-Up] [DIFF 4.8]
[One-Arm Australian Pull-Up | (Low Bar)] [DIFF 4.3]
[Fingertip Chin-Up] [DIFF 5]
[False Grip Chin-Up] [DIFF 5.5]
[Vertical Rope Chin-Up] [DIFF 5.5]
[Plyo Chin-Up] [DIFF 4.8]
[L-Sit Chin-Up] [DIFF 6]
[False Grip Chin-Up | (Rings)] [DIFF 6.5]
[Sternum Chin-Up] [DIFF 5.5]
[One-Arm Ring Row] [DIFF 5]
[L-Sit Chin-Up | (Rings)] [DIFF 7]
[Plyo Chin-Up | (Rings)] [DIFF 5.5]
[Typewriter Chin-Up] [DIFF 7.5]
[Around The World Chin-Up] [DIFF 7]
[One-Arm Chin-Up | Lock-Off] [DIFF 7]
[Uneven Chin-Up] [DIFF 5.9]
[Archer Chin-Up] [DIFF 6.5]
[One-Arm Chin-Up | Negative] [DIFF 7.5]
[Wrist-Assisted One-Arm Chin-Up] [DIFF 7]
[Finger-Assisted One-Arm Chin-Up] [DIFF 7]
[One-Arm Chin-Up] [DIFF 9.5]
[Australian Pull-Up | (Low Bar)] [DIFF 1.5]
[Australian Pull-Up | (Parallettes)] [DIFF 1.6]
[Australian Pull-Up | (Rings)] [DIFF 2]
[Australian Pull-Up | Feet Elevated (Low Bar)] [DIFF 2.8]
[Jumping Pull-Up | (Bar)] [DIFF 1]
[Wide Neutral Grip Pull-Up | (Wide Bar)] [DIFF 4.2]
[Pinch Grip Pull-Up | (Bar)] [DIFF 5.5]
[Fingertip Pull-Up | (Bar)] [DIFF 5.5]
[Full Crimp Pull-Up | (Bar)] [DIFF 6.5]
[Chest-to-Bar Pull-Up | (Rings)] [DIFF 5.3]
[Archer Pull-Up | (Rings)] [DIFF 6.8]
[Straddle L-Sit Pull-Up | (Bar)] [DIFF 6.1]
[2-Finger Pull-Up | (Bar)] [DIFF 8]
[Knuckle Pull-Up | (Bar)] [DIFF 4.2]
[4-Finger Pull-Up | (Bar)] [DIFF 5.8]
[3-Finger Pull-Up | (Bar)] [DIFF 6.8]
[1-Finger Pull-Up | (Bar)] [DIFF 9.5]
[V-Sit Pull-Up | (Bar)] [DIFF 7.5]
[L-Sit Pull-Up | (Rings)] [DIFF 6]
[One-Arm Towel Pull-Up | (Bar)] [DIFF 6.5]
[Pull-Up | Tempo (Bar)] [DIFF 4.3]
[Pull-Up | Extended Negative (Bar)] [DIFF 4.5]
[One-Arm Pull-Up | (Rings)] [DIFF 9]
[Neutral Grip Pull-Up | (Band)] [DIFF 2.5]
[Side Pull-Up | (Bar)] [DIFF 5]
[Superman Pull-Up | (Bar)] [DIFF 6.5]

All Dips
[Dip | (Parallettes)] [DIFF 4.0]
[Dip | (Rings)] [DIFF 5.5]
[Korean Dip | (Parallettes)] [DIFF 6.5]
[Tiger Bend | (Parallettes)] [DIFF 8.0]
[Band-Assisted Dip | (Parallettes)] [DIFF 2.5]
[Dip | (Bench)] [DIFF 2.0]
[L-Sit Dip | (Parallettes)] [DIFF 6.5]
[Dip | Negative (Parallettes)] [DIFF 3.5]
[Dip | (Bar)] [DIFF 4.5]
[Box Dip | (Bench)] [DIFF 2.0]
[Tuck Dip | (Parallettes)] [DIFF 2.5]
[Machine-Assisted Dip | (Machine)] [DIFF 2.0]
[Feet-Supported Dip | (Parallettes)] [DIFF 2.5]
[Tuck Dip | (Rings)] [DIFF 4.0]
[Korean Dip | Negative (Parallettes)] [DIFF 5.5]
[Wide-Grip Dip | (Parallettes)] [DIFF 4.5]
[Narrow-Grip Dip | (Parallettes)] [DIFF 4.2]
[Chest Dip | (Parallettes)] [DIFF 4.3]
[Turned Out Dip | (Rings)] [DIFF 6.5]
[Band-Resisted Dip | (Parallettes)] [DIFF 4.5]
[Archer Dip | (Parallettes)] [DIFF 6.0]
[One-Arm Dip | (Parallettes)] [DIFF 8.0]
[One-Arm Dip | Negative (Parallettes)] [DIFF 7.0]
[One-Arm Dip | (Rings)] [DIFF 9.0]
[Pause Dip | (Parallettes)] [DIFF 4.5]
[Tempo Dip | (Parallettes)] [DIFF 4.3]
[Support Hold | (Parallettes)] [DIFF 1.5]
[Bottom Hold | (Parallettes)] [DIFF 4.0]
[Support Hold | (Rings)] [DIFF 3.0]
[Korean Dip | Support Hold (Parallettes)] [DIFF 4.5]
[Explosive Dip | (Parallettes)] [DIFF 4.5]
[Clap Dip | (Parallettes)] [DIFF 5.0]
[Russian Dip | (Parallettes)] [DIFF 5.5]
[Dip Shrug | (Parallettes)] [DIFF 2.5]
[Straddle L-Sit Dip | (Parallettes)] [DIFF 7.5]
[Kipping Dip | (Parallettes)] [DIFF 3.5]
[L-Sit Dip | (Bar)] [DIFF 7.0]
[German Dip | (Parallettes)] [DIFF 6.5]
[False Grip Dip | (Rings)] [DIFF 6.5]
[Impossible Dip | (Parallettes)] [DIFF 8.5]
[L-Sit Dip | (Rings)] [DIFF 7.8]
[Dip | (TRX)] [DIFF 5.0]
[Pike Dip | (Parallettes)] [DIFF 4.8]
[Korean Dip | (Rings)] [DIFF 7.5]
[Iron Cross Dip | (Rings)] [DIFF 10.0]
[Typewriter Dip | (Parallettes)] [DIFF 6.0]
[Gironda Dip | (V-Bar)] [DIFF 4.8]
[Reverse Grip Dip | (Parallettes)] [DIFF 5.5]
[One-Arm Dip | (Bench)] [DIFF 4.5]
[Archer Dip | (Rings)] [DIFF 8.5]
[Explosive Dip | (Rings)] [DIFF 6.0]
[Explosive Dip | (Bar)] [DIFF 6.0]
[Pommel Horse Dip | (Pommel)] [DIFF 6.5]
[Dip | Negative (Rings)] [DIFF 4.5]
[Russian Dip | (Rings)] [DIFF 7.5]
[Straddle L-Sit Dip | (Rings)] [DIFF 8.5]
[Typewriter Dip | (Rings)] [DIFF 8.0]
[Weighted Dip | (Parallettes)] [DIFF 5.5]
[Weighted Dip | (Bar)] [DIFF 5.5]
[Weighted Dip | (Rings)] [DIFF 6.5]
[Wide-Grip Dip | (Rings)] [DIFF 6.5]
[Wide-Grip Dip | (Bar)] [DIFF 5.0]
[Narrow-Grip Dip | (Rings)] [DIFF 6.0]
[Narrow-Grip Dip | (Bar)] [DIFF 4.2]
[Chest Dip | (Rings)] [DIFF 6.5]
[Chest Dip | (Bar)] [DIFF 4.5]
[Support Hold | (Bar)] [DIFF 2.5]
[Bottom Hold | (Rings)] [DIFF 5.5]
[Bottom Hold | (Bar)] [DIFF 3.5]
[Dip | Negative (Bar)] [DIFF 3.5]
[L-Sit Dip | Negative (Parallettes)] [DIFF 6.0]
[L-Sit Dip | Negative (Rings)] [DIFF 7.5]
[Tiger Bend | Negative (Parallettes)] [DIFF 6.0]
[Tiger Bend | (Rings)] [DIFF 8.5]
[Tiger Bend | (Bar)] [DIFF 7.5]
[Pause Dip | (Rings)] [DIFF 6.5]
[Pause Dip | (Bar)] [DIFF 4.5]
[Tempo Dip | (Rings)] [DIFF 6.0]
[Tempo Dip | (Bar)] [DIFF 4.0]
[German Dip | (Rings)] [DIFF 8.5]
[German Dip | (Bar)] [DIFF 7.5]
[German Dip | Negative (Parallettes)] [DIFF 5.5]
[Pike Dip | (Rings)] [DIFF 7.0]
[Pike Dip | (Bar)] [DIFF 5.5]
[Korean Dip | (Bar)] [DIFF 6.0]
[Korean Dip | Negative (Rings)] [DIFF 6.5]
[Reverse Grip Dip | (Rings)] [DIFF 7.0]
[Reverse Grip Dip | (Bar)] [DIFF 5.5]
[Fingertip Dip | (Parallettes)] [DIFF 5.5]
[Fingertip Dip | (Rings)] [DIFF 7.0]
[Jump Dip | (Parallettes)] [DIFF 2.0]
[Band-Assisted Dip | (Rings)] [DIFF 3.5]
[Band-Assisted Dip | (Bar)] [DIFF 2.5]
[Dip Shrug | (Rings)] [DIFF 4.0]
[Dip Shrug | (Bar)] [DIFF 2.5]
